course_id,neg_count,pos_count,num_chapters,n_videos,n_exercises,n_problems,n_users_content_interaction,assignment_coverage,video_coverage,discussion_coverage,problems_attempted,attempts_total,correct_total,correct_rate_course,comments_total,commenters_total,views_total,viewers_total,unique_videos_viewed,enrollment_count,num_inactive_users,inactive_rate,avg_video_duration_sec,avg_exercise_correct_rate_course,avg_exercise_attempt_rate_course,avg_video_access_rate_course,qs_rank,progress_ratio,CQS_num
C_1907850,0,0,12,29,10,243,7.0,0.0,1,0.0,50,63,37,0.0,0.0,0.0,17.0,7.0,6,81,74.0,0.9135802469135802,,0.0,0.0,0.0738916256157635,,0.0,0
C_1755895,3,1,20,61,19,80,10.0,0.0,1,1.0,80,115,71,0.0,14.0,2.0,15.0,9.0,5,225,215.0,0.9555555555555556,1211.8858518518518,0.0,0.0,0.0255009107468123,20.0,0.0,2
C_1925897,0,1,10,78,18,319,161.0,0.0,1,1.0,171,608,384,0.0,3.0,3.0,1319.0,160.0,31,6960,6799.0,0.976867816091954,614.31385,0.85,0.1111111111111111,0.0459935897435897,484.0,0.0,1
C_681552,0,0,3,5,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0
C_681863,0,0,15,92,14,98,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0
C_1641666,0,1,11,46,11,168,3.0,0.0,0,1.0,9,9,4,0.0,1.0,1.0,0.0,0.0,0,204,201.0,0.9852941176470588,630.4971304347825,0.5858585858585859,0.1363636363636363,0.0,,0.0,0
C_681502,0,2,10,73,10,82,3.0,0.0,0,1.0,82,186,125,0.0,4.0,3.0,0.0,0.0,0,1142,1139.0,0.9973730297723292,,0.0,0.0,0.0,,0.0,2
C_1814513,0,0,11,51,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,770.05296,0.0,0.0,0.0,20.0,0.0,0
C_756747,2,0,5,22,24,104,63.0,0.0,0,1.0,0,0,0,0.0,193.0,63.0,0.0,0.0,0,12673,12610.0,0.9950288013887792,,0.0,0.0,0.0,385.0,0.0,1
C_735197,0,0,17,69,17,213,684.0,0.0,1,1.0,184,3302,2709,0.0,734.0,48.0,19156.0,627.0,34,7760,7076.0,0.9118556701030928,,0.8825375619414213,0.624103299856528,0.0603749162101564,385.0,0.0,2
