course_id,CQV,pct,grade8,CQS
C_1017355,0.32480022836632566,0.8555937582650093,A2,Acceptable
C_1017419,0.24141462700499208,0.7357841840782862,B1,Acceptable
C_1025064,0.5861882015141167,0.9928590320021159,A1,Excellent
C_1025076,0.0,0.16649034646918803,D1,Needs Improvement
C_1025079,0.44812305120585044,0.9526580269769902,A1,Excellent
C_1073350,0.22459687903645884,0.5846336947897381,B2,Acceptable
C_1123814,0.0,0.16649034646918803,D1,Needs Improvement
C_1123848,0.0,0.16649034646918803,D1,Needs Improvement
C_1123944,0.23396765371457348,0.6922771753504364,B1,Acceptable
C_1123979,0.3868728527620222,0.9016133298069294,A1,Excellent
C_1124039,0.24480962665033923,0.7483469981486379,B1,Acceptable
C_1159827,0.2886507255895254,0.8145993123512298,A2,Acceptable
C_1168774,0.0,0.16649034646918803,D1,Needs Improvement
C_1168945,0.0,0.16649034646918803,D1,Needs Improvement
C_1169292,0.0,0.16649034646918803,D1,Needs Improvement
C_1169394,0.0,0.16649034646918803,D1,Needs Improvement
C_1214863,0.2928932188134525,0.8233271621264215,A2,Acceptable
C_1320505,0.0,0.16649034646918803,D1,Needs Improvement
C_1328548,0.0807332147400545,0.4120603015075377,C1,Needs Improvement
C_1410076,0.16161165235168157,0.46455964030679714,C1,Needs Improvement
C_1410096,0.0,0.16649034646918803,D1,Needs Improvement
C_1410106,0.22620065126754899,0.6217931764083576,B2,Acceptable
C_1410117,0.3328367966576402,0.8614123247818037,A2,Acceptable
C_1410126,0.43962463592582046,0.9473684210526315,A1,Excellent
C_1410145,0.38772411538022367,0.9029357312880191,A1,Excellent
C_1410156,0.24512861535390698,0.7566781274795028,A2,Acceptable
C_1410371,0.2674424314782119,0.7892092039143084,A2,Acceptable
C_1410386,0.39390847326867356,0.9078286167680508,A1,Excellent
C_1412527,0.2507257811510629,0.7643480560698228,A2,Acceptable
C_1428968,0.22773758255144247,0.6260248611478445,B1,Acceptable
C_1429002,0.04169230076111579,0.37423961914837345,C2,Needs Improvement
C_1429045,0.0,0.16649034646918803,D1,Needs Improvement
C_1429102,0.5379751517749246,0.9865115048928855,A1,Excellent
C_1429234,0.22327238678931538,0.5560698227982015,B2,Acceptable
C_1434547,0.4053498417323647,0.9193335096535308,A1,Excellent
C_1434593,0.3844508493239484,0.89896852684475,A1,Excellent
C_1438319,0.5248377880372904,0.9841311822269241,A1,Excellent
C_1438353,0.2631694460512161,0.7841840782861677,A2,Acceptable
C_1469181,0.2767780029299141,0.802433218725205,A2,Acceptable
C_1472684,0.3355077260434865,0.864057127743983,A2,Acceptable
C_1526890,0.41998977900363704,0.9322930441682095,A1,Excellent
C_1527362,0.2121099683027175,0.49272679185400686,C1,Needs Improvement
C_1527407,0.30222528627580936,0.833112933086485,A2,Acceptable
C_1527433,0.25919330633506193,0.7804813541391167,A2,Acceptable
C_1527465,0.09891590481329265,0.42766463898439566,C1,Needs Improvement
